Continent,Region,Country,"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Africa,Central Africa,Gabon,4.85,4.6,5.5,5.5,4.5,8.5,7,3,2.5,3,4,5,2.5,7,7,3,1,5.1,1,5,8,6,5.5,3.25,2,2,5,4,3,4.5,4.5,2,2.5,3,3.5,3
Africa,Central Africa,"Congo, Rep,",4.78,4.47,6.5,4.5,5,8,7,4,2,6,4,2,2.5,4,5.5,3,3,5.1,3,6.5,8,5,3,3.25,3,2,5,5,2,4.5,3,3,3,2,4,2.5
Africa,Southern Africa,Mozambique,6.2,5.9,4.5,5.5,6.5,8,8,8,8,6,4,7,3,6.5,4,4.5,5,6.5,5,8,9,7.5,3,3.29,3,3.5,5.5,5.5,2,2,3,3,4,3,2,3
Oceania,Melanesia,Papua New Guinea,5.72,5.33,7,4,6.5,8.5,5,7,1,4,6.5,5,4,9,5.5,5,2,6.1,1,8,8.5,6.5,6.5,3.29,2.5,2,4.5,5.5,4.5,3,3,3,3,3.5,2.5,2.5
Americas,Caribbean & Central,Belize,4.87,4.43,5.5,6,5,5.5,5.5,3.5,3.5,5,5.5,3,3.5,4,3.5,4,3.5,5.3,6.5,3.5,5.5,5.5,5.5,3.29,6,2.5,4,3.5,4,4,2,2,1.5,3,3,4
Africa,Southern Africa,eSwatini,4.38,3.87,4,4.5,4,2.5,2,3,3,3,5.5,3,5,5.5,4,4.5,4.5,4.9,2,5.5,6,5,6,3.29,3,2.5,5,3,3,3,4,5,2,2.5,4,2.5
Africa,Southern Africa,Madagascar,5.58,5.27,6,3,6,8,7.5,8,7,3,6.5,2.5,2,6,4,4,5.5,5.9,4.5,5,8,6.5,5.5,3.33,4,2,3,3.5,2.5,4,5.5,4.5,2,2.5,4,2.5
Asia,Western Asia,Turkey,7.03,6.77,8,9,8.5,4,3,8.5,8.5,5.5,6.5,7,5,8,7,7,6,7.3,8.5,8,9,6,5,3.38,4,2,3.5,4.5,2,3,5.5,2,4,4,3,3
Americas,South America,Paraguay,7.52,6.73,7.5,6,9,6.5,6.5,4,1,8.5,9,4.5,7.5,7.5,9,7.5,7,8.3,8,8,9,9,7.5,3.42,2,3,7,3.5,2.5,2,4.5,2.5,4,2,3,5
Asia,Southern Asia,Sri Lanka,4.92,4.83,6.5,6.5,6,3.5,5.5,3,6.5,2.5,6,6,3,4,2.5,3.5,7.5,5,5.5,6,7,3.5,3,3.42,2.5,3,5.5,5.5,3,3,4,5,2,3,2,2.5
